id,depth.mean,depth.top,depth.btm,lat,long,NO3,d17O,d18O,D17O,d15N,NO3err,d17Oerr,d18Oerr,D17Oerr,d15Nerr,group,site,smb,pseudo
CHICH_P5-048,46.5,45,48,-71.1669,111.3665,64,0.071,0.0746,0.0322,0.0479,1,0.0006,0.0008,0.0003,0.0009,p5,ABN,122,0
CHICH_P5-051,49.5,48,51,-71.1669,111.3665,57,0.0743,0.0771,0.0342,0.045,1,0.0006,0.0008,0.0003,0.0009,p5,ABN,122,0
CHICH_P5-054,52.5,51,54,-71.1669,111.3665,54,0.075,0.0776,0.0347,0.0444,1,0.0012,0.0023,0.0002,0.0008,p5,ABN,122,0
CHICH_P5-057,55.5,54,57,-71.1669,111.3665,55,0.0784,0.081,0.0363,0.0457,1,0.0006,0.0008,0.0003,0.0009,p5,ABN,122,0
CHICH_P5-060,58.5,57,60,-71.1669,111.3665,56,0.0789,0.0816,0.0365,0.0446,1,0.0006,0.0008,0.0003,0.0009,p5,ABN,122,0
CHICH_P5-063RR,61.5,60,63,-71.1669,111.3665,40,0.0747,0.0789,0.0336,0.0321,1,0.0005,0.0008,0.0003,0.0011,p5,ABN,122,0
CHICH_P5-066,64.5,63,66,-71.1669,111.3665,36,0.0703,0.0744,0.0316,0.0169,1,0.0012,0.0023,0.0002,0.0008,p5,ABN,122,0
CHICH_P5-069,67.5,66,69,-71.1669,111.3665,38,0.0677,0.0741,0.0291,0.0108,1,0.0012,0.0023,0.0002,0.0008,p5,ABN,122,0
CHICH_P5-072,70.5,69,72,-71.1669,111.3665,40,0.0697,0.0759,0.0303,0.0082,1,0.0012,0.0023,0.0002,0.0008,p5,ABN,122,0
CHICH_P5-075,73.5,72,75,-71.1669,111.3665,60,0.0636,0.0647,0.0299,0.0262,1,0.0006,0.0008,0.0003,0.0009,p5,ABN,122,0
CHICH_P5-078,76.5,75,78,-71.1669,111.3665,61,0.0613,0.0612,0.0294,0.0365,1,0.0006,0.0008,0.0003,0.0009,p5,ABN,122,0
CHICH_P5-081,79.5,78,81,-71.1669,111.3665,59,0.0611,0.0611,0.0293,0.035,1,0.0012,0.0023,0.0002,0.0008,p5,ABN,122,0
CHICH_P5-084,82.5,81,84,-71.1669,111.3665,55,0.0591,0.06,0.0279,0.032,1,0.0012,0.0023,0.0002,0.0008,p5,ABN,122,0
CHICH_P5-087,85.5,84,87,-71.1669,111.3665,45,0.0529,0.0554,0.0241,0.0362,1,0.0012,0.0023,0.0002,0.0008,p5,ABN,122,0
CHICH_P5-090,88.5,87,90,-71.1669,111.3665,47,0.0549,0.0565,0.0256,0.0495,1,0.0012,0.0023,0.0002,0.0008,p5,ABN,122,0
CHICH_P5-093,91.5,90,93,-71.1669,111.3665,45,0.0559,0.0582,0.0256,0.0431,1,0.0012,0.0023,0.0002,0.0008,p5,ABN,122,0
CHICH_P5-096,94.5,93,96,-71.1669,111.3665,35,0.0574,0.0582,0.0272,0.0664,1,0.0012,0.0023,0.0002,0.0008,p5,ABN,122,0
CHICH_P5-099,97.5,96,99,-71.1669,111.3665,41,0.0608,0.0595,0.0299,0.0856,1,0.0012,0.0023,0.0002,0.0008,p5,ABN,122,0
CHICH_P5-102,100.5,99,102,-71.1669,111.3665,38,0.0633,0.0608,0.0317,0.0872,1,0.0012,0.0023,0.0002,0.0008,p5,ABN,122,0
CHICH_P5-105,103.5,102,105,-71.1669,111.3665,39,0.0638,0.0618,0.0317,0.0869,1,0.0012,0.0023,0.0002,0.0008,p5,ABN,122,0
CHICH_P5-108,106.5,105,108,-71.1669,111.3665,44,0.0647,0.0633,0.0318,0.0862,1,0.0012,0.0023,0.0002,0.0008,p5,ABN,122,0
CHICH_P5-111,109.5,108,111,-71.1669,111.3665,46,0.0666,0.0659,0.0324,0.0816,1,0.0012,0.0023,0.0002,0.0008,p5,ABN,122,0
CHICH_P5-114RR,112.5,111,114,-71.1669,111.3665,51,0.0696,0.0695,0.0334,0.0792,1,0.0005,0.0008,0.0003,0.0011,p5,ABN,122,0
CHICH_P5-117,115.5,114,117,-71.1669,111.3665,51,0.067,0.0675,0.0319,0.0649,1,0.0006,0.0008,0.0003,0.0009,p5,ABN,122,0
CHICH_P5-120,118.5,117,120,-71.1669,111.3665,60,0.0622,0.064,0.0289,0.0435,1,0.0006,0.0008,0.0003,0.0009,p5,ABN,122,0
CHICH_P5-123,121.5,120,123,-71.1669,111.3665,63,0.0571,0.0571,0.0274,0.0505,1,0.0006,0.0008,0.0003,0.0009,p5,ABN,122,0
CHICH_P5-126,124.5,123,126,-71.1669,111.3665,63,0.0561,0.057,0.0264,0.0495,1,0.0006,0.0008,0.0003,0.0009,p5,ABN,122,0
CHICH_P5-129,127.5,126,129,-71.1669,111.3665,54,0.0601,0.0625,0.0276,0.0531,1,0.0006,0.0008,0.0003,0.0009,p5,ABN,122,0
CHICH_P5-132,130.5,129,132,-71.1669,111.3665,49,0.0608,0.0633,0.0279,0.0536,1,0.0012,0.0023,0.0002,0.0008,p5,ABN,122,0
CHICH_P5-135,133.5,132,135,-71.1669,111.3665,52,0.0634,0.0657,0.0292,0.0568,1,0.0006,0.0008,0.0003,0.0009,p5,ABN,122,0
CHICH_P5-138,136.5,135,138,-71.1669,111.3665,49,0.0683,0.0707,0.0315,0.0632,1,0.0006,0.0008,0.0003,0.0009,p5,ABN,122,0
CHICH_P5-141RR,139.5,138,141,-71.1669,111.3665,47,0.066,0.0685,0.0304,0.0567,1,0.0005,0.0008,0.0003,0.0011,p5,ABN,122,0
CHICH_P5-144,142.5,141,144,-71.1669,111.3665,44,0.0678,0.071,0.0309,0.0457,1,0.0012,0.0023,0.0002,0.0008,p5,ABN,122,0
CHICH_P5-147,145.5,144,147,-71.1669,111.3665,54,0.0611,0.0629,0.0284,0.05,1,0.0006,0.0008,0.0003,0.0009,p5,ABN,122,0
CHICH_P5-150,148.5,147,150,-71.1669,111.3665,67,0.055,0.0531,0.0273,0.066,1,0.0006,0.0008,0.0003,0.0009,p5,ABN,122,0
CHICH_P5-153,151.5,150,153,-71.1669,111.3665,57,0.0559,0.0586,0.0254,0.0289,1,0.0006,0.0008,0.0003,0.0009,p5,ABN,122,0
CHICH_P5-156,154.5,153,156,-71.1669,111.3665,45,0.0565,0.0643,0.0231,-0.0025,1,0.0006,0.0008,0.0003,0.0009,p5,ABN,122,0
CHICH_P5-159,157.5,156,159,-71.1669,111.3665,42,0.0534,0.061,0.0217,-0.009,1,0.0012,0.0023,0.0002,0.0008,p5,ABN,122,0
CHICH_P5-162,160.5,159,162,-71.1669,111.3665,41,0.0529,0.0598,0.0218,-0.0097,1,0.0012,0.0023,0.0002,0.0008,p5,ABN,122,0
CHICH_P5-165,163.5,162,165,-71.1669,111.3665,40,0.0532,0.06,0.022,-0.0087,1,0.0012,0.0023,0.0002,0.0008,p5,ABN,122,0
CHICH_P5-168,166.5,165,168,-71.1669,111.3665,46,0.0565,0.0654,0.0226,0.0036,1,0.0009,0.0016,0.0003,0.0016,p5,ABN,122,0
CHICH_P5-171,169.5,168,171,-71.1669,111.3665,44,0.0543,0.0565,0.0249,0.034,1,0.0012,0.0023,0.0002,0.0008,p5,ABN,122,0
CHICH_P5-174,172.5,171,174,-71.1669,111.3665,45,0.0584,0.0608,0.0268,0.0453,1,0.0012,0.0023,0.0002,0.0008,p5,ABN,122,0
CHICH_P5-177,175.5,174,177,-71.1669,111.3665,46,0.0639,0.0677,0.0287,0.0358,1,0.0012,0.0023,0.0002,0.0008,p5,ABN,122,0
CHICH_P5-180D,178.5,177,180,-71.1669,111.3665,48,0.0641,0.0681,0.0286,0.0346,1,0.0005,0.0008,0.0003,0.0011,p5,ABN,122,0
CHICH_P5-183,181.5,180,183,-71.1669,111.3665,61,0.0634,0.0669,0.0286,0.0352,1,0.0006,0.0008,0.0003,0.0009,p5,ABN,122,0
CHICH_P5-186,184.5,183,186,-71.1669,111.3665,74,0.0547,0.0519,0.0277,0.0654,1,0.0006,0.0008,0.0003,0.0009,p5,ABN,122,0
CHICH_P5-189,187.5,186,189,-71.1669,111.3665,87,0.0514,0.046,0.0275,0.0951,1,0.0006,0.0008,0.0003,0.0009,p5,ABN,122,0
CHICH_P5-192,190.5,189,192,-71.1669,111.3665,101,0.0509,0.0454,0.0273,0.0983,2,0.0006,0.0008,0.0003,0.0009,p5,ABN,122,0
CHICH_P5-195,193.5,192,195,-71.1669,111.3665,104,0.0518,0.0472,0.0272,0.0931,2,0.0006,0.0008,0.0003,0.0009,p5,ABN,122,0
CHICH_P5-198,196.5,195,198,-71.1669,111.3665,95,0.0544,0.0514,0.0276,0.0807,1,0.0006,0.0008,0.0003,0.0009,p5,ABN,122,0
CHICH_P5-201,199.5,198,201,-71.1669,111.3665,64,0.0594,0.0615,0.0274,0.0581,1,0.0006,0.0008,0.0003,0.0009,p5,ABN,122,0
CHIC_SKL_01,0,0,0,-70.5508,132.5058,157,0.065,0.0688,0.0293,-0.0181,2,0.0005,0.0008,0.0003,0.0011,skl,CHIC-03,164.5,0
CHIC_SKL_02,0,0,0,-70.6755,130.1723,252,0.0694,0.0714,0.0323,-0.0118,4,0.0005,0.0008,0.0003,0.0011,skl,CHIC-05,154.1,0
CHIC_SKL_03,0,0,0,-70.8265,127.9437,210,0.0701,0.0744,0.0314,-0.0129,3,0.0005,0.0008,0.0003,0.0011,skl,CHIC-08,161.6,0
CHIC_SKL_04,0,0,0,-70.9981,125.3884,251,0.0698,0.0736,0.0315,-0.0039,4,0.0005,0.0008,0.0003,0.0011,skl,CHIC-11,139.9,0
CHIC_SKL_05,0,0,0,-71.1549,116.607,326,0.0663,0.0679,0.031,-0.0056,5,0.0005,0.0008,0.0003,0.0011,skl,CHIC-17,140.7,0
CHIC_SKL_06,0,0,0,-71.2102,113.7398,501,0.0631,0.0668,0.0284,-0.0173,8,0.0005,0.0008,0.0003,0.0011,skl,CHIC-21,132.7,0
CHIC_SKL_07,0,0,0,-71.1669,111.3665,210,0.0682,0.0698,0.0319,0.0043,3,0.0005,0.0008,0.0003,0.0011,skl,ABN1,122,0
CHIC_SKL_08,0,0,0,-71.1669,111.3665,275,0.0687,0.0718,0.0314,0.0001,4,0.0005,0.0008,0.0003,0.0011,skl,ABN2,122,0
CHIC_SKL_09,0,0,0,-71.1979,112.6573,265,0.0657,0.0692,0.0297,-0.0151,4,0.0005,0.0008,0.0003,0.0011,skl,CHIC-22,128.6,0
CHIC_SKL_10,0,0,0,-71.2116,113.9273,268,0.0684,0.0716,0.0312,-0.0033,4,0.0005,0.0008,0.0003,0.0011,skl,CHIC-20,133.3,0
CHIC_SKL_11,0,0,0,-71.1572,114.8263,166,0.0713,0.0767,0.0314,-0.013,2,0.0005,0.0008,0.0003,0.0011,skl,CHIC-19,137.1,0
CHIC_SKL_12,0,0,0,-71.1651,116.1506,154,0.0692,0.0743,0.0306,-0.0177,2,0.0005,0.0008,0.0003,0.0011,skl,CHIC-18,138.5,0
CHIC_SKL_13,0,0,0,-71.1257,117.7986,124,0.0726,0.0785,0.0318,-0.0157,2,0.0005,0.0008,0.0003,0.0011,skl,CHIC-16,145.4,0
CHIC_SKL_14,0,0,0,-71.1449,119.5344,299,0.073,0.0785,0.0322,-0.015,4,0.0005,0.0008,0.0003,0.0011,skl,CHIC-15,145.1,0
CHIC_SKL_15,0,0,0,-71.1745,121.232,315,0.0713,0.0757,0.032,-0.0076,5,0.0005,0.0008,0.0003,0.0011,skl,CHIC-14,141,0
CHIC_SKL_16,0,0,0,-71.1369,122.9738,191,0.0746,0.0791,0.0335,0.0044,3,0.0005,0.0008,0.0003,0.0011,skl,CHIC-13,137.3,0
CHIC_SKL_17,0,0,0,-71.0702,124.4738,198,0.073,0.0767,0.0331,0.0029,3,0.0005,0.0008,0.0003,0.0011,skl,CHIC-12,135.9,0
CHIC_SKL_18,0,0,0,-70.979,125.8631,255,0.073,0.078,0.0325,-0.0037,4,0.0005,0.0008,0.0003,0.0011,skl,CHIC-10,142.2,0
CHIC_SKL_19,0,0,0,-70.8668,127.408,248,0.0734,0.0786,0.0325,-0.0094,4,0.0005,0.0008,0.0003,0.0011,skl,CHIC-09,158,0
CHIC_SKL_20,0,0,0,-70.8039,128.2823,308,0.0777,0.0852,0.0334,-0.0013,5,0.0005,0.0008,0.0003,0.0011,skl,CHIC-07,161.7,0
CHIC_SKL_21,0,0,0,-70.6998,129.8909,358,0.0727,0.0783,0.032,-0.009,5,0.0005,0.0008,0.0003,0.0011,skl,CHIC-06,154.7,0
CHIC_SKL_22,0,0,0,-70.5975,131.6463,360,0.071,0.0763,0.0314,-0.0141,5,0.0005,0.0008,0.0003,0.0011,skl,CHIC-04,159.9,0
CHIC_SKL_23,0,0,0,-70.4995,133.2643,285,0.0684,0.0755,0.0292,-0.0215,4,0.0005,0.0008,0.0003,0.0011,skl,CHIC-02,172.9,0
CHIC_DL_1,100,100,100,-71.1669,111.3665,49,0.0529,0.0506,0.0266,0.0728,1,0.0005,0.0008,0.0003,0.0011,dl,ABN1,122,0
CHIC_DL_2,100,100,100,-71.1669,111.3665,96,0.0631,0.0653,0.0291,0.0393,1,0.0005,0.0008,0.0003,0.0011,dl,ABN2,122,0
CHIC_DL_3,100,100,100,-71.2116,113.9273,78,0.0818,0.0871,0.0365,0.0585,1,0.0005,0.0008,0.0003,0.0011,dl,CHIC-20,133.3,0
CHIC_DL_4,100,100,100,-71.1651,116.1506,80,0.0746,0.078,0.0341,0.0253,1,0.0005,0.0008,0.0003,0.0011,dl,CHIC-18,138.5,0
CHIC_DL_5,100,100,100,-71.1449,119.5344,73,0.065,0.0685,0.0293,0.0348,1,0.0005,0.0008,0.0003,0.0011,dl,CHIC-15,145.1,0
CHIC_DL_6,100,100,100,-71.1369,122.9738,90,0.0639,0.0663,0.0294,0.0416,1,0.0005,0.0008,0.0003,0.0011,dl,CHIC-13,137.3,0
CHIC_DL_7,100,100,100,-70.979,125.8631,55,0.059,0.059,0.0284,0.0621,1,0.0005,0.0008,0.0003,0.0011,dl,CHIC-10,142.2,0
CHIC_DL_8,100,100,100,-70.8039,128.2823,85,0.0792,0.0848,0.0351,0.0508,1,0.0005,0.0008,0.0003,0.0011,dl,CHIC-07,161.7,0
CHIC_DL_9,100,100,100,-70.5975,131.6463,97,0.0642,0.0677,0.029,0.0296,1,0.0005,0.0008,0.0003,0.0011,dl,CHIC-04,159.9,0
CHICH_P1-00-est,0,0,0,-70.4309,134.1378,264,0.0724,0.079,0.0313,-0.0185,NA,NA,NA,NA,NA,skl,CHIC-01.p1,180.3,1
CHIC_SKL_02,0,0,0,-70.6755,130.1723,252,0.0694,0.0714,0.0323,-0.0118,4,0.0005,0.0008,0.0003,0.0011,skl,CHIC-05.p2,154.1,1
CHIC_SKL_04,0,0,0,-70.9981,125.3884,251,0.0698,0.0736,0.0315,-0.0039,4,0.0005,0.0008,0.0003,0.0011,skl,CHIC-11.p3,139.9,1
CHIC_SKL_07,0,0,0,-71.1669,111.3665,210,0.0682,0.0698,0.0319,0.0043,3,0.0005,0.0008,0.0003,0.0011,skl,ABN.p4,122,1
CHIC_SKL_08,0,0,0,-71.1669,111.3665,275,0.0687,0.0718,0.0314,0.0001,4,0.0005,0.0008,0.0003,0.0011,skl,ABN.p5,122,1
CHICH_P1-DL,69.75,40.5,99,-70.4309,134.1378,63,0.0705,0.0742,0.0319,0.0228,1,0.0012,0.0023,0.0004,0.0016,dl,CHIC-01.p1,180.3,1
CHICH_P2-DL,85.5,69,102,-70.6755,130.1723,66,0.0652,0.0686,0.0296,0.049,1,0.0012,0.0023,0.0004,0.0008,dl,CHIC-05.p2,154.1,1
CHICH_P3-DL,76.5,60,93,-70.9981,125.3884,65,0.0631,0.0662,0.0287,0.0302,1,0.0012,0.0023,0.0004,0.0008,dl,CHIC-11.p3,139.9,1
CHICH_P4-DL,78,54,102,-71.1669,111.3665,57,0.0546,0.0554,0.0258,0.0433,1,0.0012,0.0023,0.0003,0.0011,dl,ABN.p4,122,1
CHICH_P5-DL,150,99,201,-71.1669,111.3665,56,0.0588,0.0595,0.0278,0.0563,1,0.0012,0.0023,0.0003,0.0016,dl,ABN.p5,122,1
