id,depth.mean,depth.top,depth.btm,lat,long,NO3,d17O,d18O,D17O,d15N,NO3err,d17Oerr,d18Oerr,D17Oerr,d15Nerr,group,site,smb,pseudo
CHICH_P2-03,1.5,0,3,-70.6755,130.1723,72,0.083,0.0867,0.0379,0.0317,1,0.0008,0.0011,0.0004,0.0007,p2,CHIC-05,154.1,0
CHICH_P2-06,4.5,3,6,-70.6755,130.1723,59,0.0896,0.0953,0.0401,0.0488,1,0.0008,0.0011,0.0004,0.0007,p2,CHIC-05,154.1,0
CHICH_P2-09,7.5,6,9,-70.6755,130.1723,64,0.0897,0.0957,0.0399,0.0443,1,0.0008,0.0011,0.0004,0.0007,p2,CHIC-05,154.1,0
CHICH_P2-12,10.5,9,12,-70.6755,130.1723,55,0.0799,0.0833,0.0366,0.0452,1,0.0012,0.0023,0.0002,0.0008,p2,CHIC-05,154.1,0
CHICH_P2-15,13.5,12,15,-70.6755,130.1723,51,0.0742,0.0759,0.0347,0.0653,1,0.0008,0.0011,0.0004,0.0007,p2,CHIC-05,154.1,0
CHICH_P2-18,16.5,15,18,-70.6755,130.1723,51,0.0723,0.0749,0.0334,0.0644,1,0.0012,0.0023,0.0002,0.0008,p2,CHIC-05,154.1,0
CHICH_P2-21,19.5,18,21,-70.6755,130.1723,52,0.0756,0.0785,0.0348,0.0637,1,0.0008,0.0011,0.0004,0.0007,p2,CHIC-05,154.1,0
CHICH_P2-24,22.5,21,24,-70.6755,130.1723,53,0.0759,0.0801,0.0342,0.0636,1,0.0008,0.0011,0.0004,0.0007,p2,CHIC-05,154.1,0
CHICH_P2-27,25.5,24,27,-70.6755,130.1723,53,0.0776,0.0808,0.0356,0.0596,1,0.0008,0.0011,0.0004,0.0007,p2,CHIC-05,154.1,0
CHICH_P2-30,28.5,27,30,-70.6755,130.1723,54,0.0769,0.0798,0.0354,0.0571,1,0.0012,0.0023,0.0002,0.0008,p2,CHIC-05,154.1,0
CHICH_P2-33,31.5,30,33,-70.6755,130.1723,55,0.0714,0.0782,0.0307,0.0552,1,0.0012,0.0023,0.0002,0.0008,p2,CHIC-05,154.1,0
CHICH_P2-36,34.5,33,36,-70.6755,130.1723,56,0.0809,0.0849,0.0368,0.052,1,0.0008,0.0011,0.0004,0.0007,p2,CHIC-05,154.1,0
CHICH_P2-39,37.5,36,39,-70.6755,130.1723,56,0.0794,0.0832,0.0361,0.0481,1,0.0012,0.0023,0.0002,0.0008,p2,CHIC-05,154.1,0
CHICH_P2-42,40.5,39,42,-70.6755,130.1723,58,0.0814,0.0865,0.0364,0.0449,1,0.0008,0.0011,0.0004,0.0007,p2,CHIC-05,154.1,0
CHICH_P2-45,43.5,42,45,-70.6755,130.1723,60,0.0836,0.0894,0.0371,0.0411,1,0.0008,0.0011,0.0004,0.0007,p2,CHIC-05,154.1,0
CHICH_P2-48,46.5,45,48,-70.6755,130.1723,58,0.0811,0.0864,0.0362,0.036,1,0.0008,0.0011,0.0004,0.0007,p2,CHIC-05,154.1,0
CHICH_P2-51,49.5,48,51,-70.6755,130.1723,58,0.0814,0.0859,0.0367,0.0318,1,0.0008,0.0011,0.0004,0.0007,p2,CHIC-05,154.1,0
CHICH_P2-54,52.5,51,54,-70.6755,130.1723,61,0.0828,0.0882,0.0369,0.03,1,0.0008,0.0011,0.0004,0.0007,p2,CHIC-05,154.1,0
CHICH_P2-57,55.5,54,57,-70.6755,130.1723,56,0.0733,0.0794,0.032,0.0135,1,0.0008,0.0011,0.0004,0.0007,p2,CHIC-05,154.1,0
CHICH_P2-60,58.5,57,60,-70.6755,130.1723,56,0.0692,0.0752,0.0301,0.0064,1,0.0012,0.0023,0.0002,0.0008,p2,CHIC-05,154.1,0
CHICH_P2-63,61.5,60,63,-70.6755,130.1723,57,0.0674,0.0736,0.0291,0.005,1,0.0008,0.0011,0.0004,0.0007,p2,CHIC-05,154.1,0
CHICH_P2-66,64.5,63,66,-70.6755,130.1723,83,0.0625,0.0626,0.03,0.0419,1,0.0008,0.0011,0.0004,0.0007,p2,CHIC-05,154.1,0
CHICH_P2-69,67.5,66,69,-70.6755,130.1723,121,0.0632,0.0606,0.0317,0.0616,2,0.0008,0.0011,0.0004,0.0007,p2,CHIC-05,154.1,0
CHICH_P2-72,70.5,69,72,-70.6755,130.1723,87,0.0692,0.0685,0.0336,0.071,1,0.0008,0.0011,0.0004,0.0007,p2,CHIC-05,154.1,0
CHICH_P2-75,73.5,72,75,-70.6755,130.1723,69,0.0784,0.0804,0.0366,0.0816,1,0.0008,0.0011,0.0004,0.0007,p2,CHIC-05,154.1,0
CHICH_P2-78,76.5,75,78,-70.6755,130.1723,65,0.0768,0.0794,0.0355,0.0703,1,0.0008,0.0011,0.0004,0.0007,p2,CHIC-05,154.1,0
CHICH_P2-81,79.5,78,81,-70.6755,130.1723,58,0.0721,0.0757,0.0328,0.0484,1,0.0008,0.0011,0.0004,0.0007,p2,CHIC-05,154.1,0
CHICH_P2-84,82.5,81,84,-70.6755,130.1723,57,0.0625,0.0699,0.0262,0.039,1,0.0012,0.0023,0.0002,0.0008,p2,CHIC-05,154.1,0
CHICH_P2-87,85.5,84,87,-70.6755,130.1723,58,0.0672,0.0712,0.0301,0.0347,1,0.0008,0.0011,0.0004,0.0007,p2,CHIC-05,154.1,0
CHICH_P2-90,88.5,87,90,-70.6755,130.1723,64,0.0575,0.06,0.0263,0.0422,1,0.0008,0.0011,0.0004,0.0007,p2,CHIC-05,154.1,0
CHICH_P2-93,91.5,90,93,-70.6755,130.1723,63,0.058,0.0618,0.0259,0.04,1,0.0008,0.0011,0.0004,0.0007,p2,CHIC-05,154.1,0
CHICH_P2-96,94.5,93,96,-70.6755,130.1723,66,0.0572,0.0616,0.0252,0.0357,1,0.0008,0.0011,0.0004,0.0007,p2,CHIC-05,154.1,0
CHICH_P2-99,97.5,96,99,-70.6755,130.1723,68,0.058,0.0623,0.0256,0.0334,1,0.0008,0.0011,0.0004,0.0007,p2,CHIC-05,154.1,0
CHICH_P2-102,100.5,99,102,-70.6755,130.1723,68,0.0598,0.0643,0.0263,0.0326,1,0.0008,0.0011,0.0004,0.0007,p2,CHIC-05,154.1,0
CHIC_SKL_04,0,0,0,-70.9981,125.3884,251,0.0698,0.0736,0.0315,-0.0039,4,0.0005,0.0008,0.0003,0.0011,p3,CHIC-11,139.9,1
CHICH_P3-03,1.5,0,3,-70.9981,125.3884,99,0.0816,0.0853,0.0372,0.0359,1,0.0008,0.0011,0.0004,0.0007,p3,CHIC-11,139.9,0
CHICH_P3-06,4.5,3,6,-70.9981,125.3884,84,0.0867,0.0925,0.0386,0.0408,1,0.0008,0.0011,0.0004,0.0007,p3,CHIC-11,139.9,0
CHICH_P3-09,7.5,6,9,-70.9981,125.3884,86,0.0887,0.0946,0.0395,0.0383,1,0.0008,0.0011,0.0004,0.0007,p3,CHIC-11,139.9,0
CHICH_P3-12,10.5,9,12,-70.9981,125.3884,92,0.0867,0.0927,0.0385,0.0377,1,0.0008,0.0011,0.0004,0.0007,p3,CHIC-11,139.9,0
CHICH_P3-15,13.5,12,15,-70.9981,125.3884,95,0.09,0.0965,0.0398,0.0349,1,0.0008,0.0011,0.0004,0.0007,p3,CHIC-11,139.9,0
CHICH_P3-18,16.5,15,18,-70.9981,125.3884,92,0.0871,0.0946,0.038,0.0278,1,0.0008,0.0011,0.0004,0.0007,p3,CHIC-11,139.9,0
CHICH_P3-21,19.5,18,21,-70.9981,125.3884,95,0.0699,0.0725,0.0321,0.0272,1,0.0008,0.0011,0.0004,0.0007,p3,CHIC-11,139.9,0
CHICH_P3-24,22.5,21,24,-70.9981,125.3884,126,0.0628,0.0621,0.0306,0.0302,2,0.0008,0.0011,0.0004,0.0007,p3,CHIC-11,139.9,0
CHICH_P3-27,25.5,24,27,-70.9981,125.3884,126,0.064,0.0649,0.0302,0.0257,2,0.0008,0.0011,0.0004,0.0007,p3,CHIC-11,139.9,0
CHICH_P3-30,28.5,27,30,-70.9981,125.3884,115,0.0636,0.0648,0.0299,0.0286,2,0.0008,0.0011,0.0004,0.0007,p3,CHIC-11,139.9,0
CHICH_P3-33,31.5,30,33,-70.9981,125.3884,97,0.0681,0.0691,0.0322,0.0458,1,0.0008,0.0011,0.0004,0.0007,p3,CHIC-11,139.9,0
