distance.km,plot.dist.mean,smb.mar.2011_2013,smb.mar.error.2011_2013,smb.mar.1979_2021,smb.mar.error.1979_2021,smb.mar.2013,smb.mar.error.2013
105,104.5,165,2.2,158.7,2.1,142.6,2.2
106,105.5,164.8,2.2,158.5,2.1,142.4,2.1
107,106.5,164.5,2.2,158.3,2.1,142.2,2.1
108,107.5,164.3,2.2,158.1,2.1,142.0,2.1
109,108.5,164,2.2,157.8,2.1,141.8,2.1
110,109.5,163.7,2.2,157.6,2.1,141.5,2.1
111,110.5,163.5,2.2,157.4,2.0,141.3,2.1
112,111.5,163.2,2.2,157.2,2.0,141.1,2.1
113,112.5,163,2.2,157.0,2.0,140.9,2.1
114,113.5,162.8,2.2,156.8,2.0,140.7,2.1
115,114.5,162.5,2.2,156.6,2.0,140.4,2.1
116,115.5,162.3,2.2,156.4,2.0,140.2,2.1
117,116.5,162.1,2.2,156.3,2.0,140.0,2.1
118,117.5,161.9,2.2,156.1,2.0,139.8,2.1
119,118.5,161.6,2.2,155.9,2.0,139.5,2.1
120,119.5,161.4,2.2,155.7,2.0,139.3,2.1
121,120.5,161.2,2.2,155.5,2.0,139.1,2.1
122,121.5,161,2.2,155.4,2.0,138.8,2.1
123,122.5,160.7,2.2,155.2,2.0,138.6,2.1
124,123.5,160.5,2.2,155.0,2.0,138.4,2.1
125,124.5,160.3,2.2,154.8,2.0,138.1,2.1
126,125.5,160.1,2.2,154.7,2.0,137.9,2.1
127,126.5,159.8,2.2,154.5,2.0,137.7,2.1
128,127.5,159.6,2.2,154.3,2.0,137.4,2.1
129,128.5,159.4,2.2,154.1,2.0,137.2,2.1
130,129.5,159.2,2.2,154.0,2.0,137.0,2.2
131,130.5,158.9,2.2,153.8,2.0,136.7,2.2
132,131.5,158.7,2.3,153.6,2.0,136.5,2.2
133,132.5,158.5,2.3,153.4,2.0,136.3,2.2
134,133.5,158.3,2.3,153.3,2.0,136.0,2.2
135,134.5,158.1,2.3,153.2,2.0,135.9,2.2
136,135.5,158,2.3,153.1,2.0,135.7,2.2
137,136.5,157.9,2.3,153.0,2.0,135.5,2.2
138,137.5,157.7,2.3,152.9,2.0,135.4,2.2
139,138.5,157.6,2.3,152.8,2.0,135.2,2.2
140,139.5,157.4,2.3,152.7,2.0,135.1,2.2
141,140.5,157.3,2.3,152.6,2.0,134.9,2.2
142,141.5,157.1,2.3,152.5,2.0,134.7,2.2
143,142.5,157,2.3,152.5,2.0,134.6,2.2
144,143.5,156.9,2.3,152.4,2.0,134.4,2.2
145,144.5,156.7,2.3,152.3,2.0,134.3,2.2
146,145.5,156.6,2.3,152.2,2.0,134.1,2.2
147,146.5,156.4,2.3,152.1,2.0,134.0,2.2
148,147.5,156.3,2.3,152.0,2.0,133.8,2.2
149,148.5,156.1,2.3,151.9,2.0,133.7,2.2
150,149.5,156,2.3,151.8,2.0,133.5,2.2
151,150.5,155.8,2.3,151.7,2.0,133.4,2.2
152,151.5,155.6,2.3,151.5,2.0,133.1,2.2
153,152.5,155.4,2.3,151.3,2.0,132.9,2.2
154,153.5,155.5,2.3,151.5,2.0,133.0,2.2
155,154.5,155.8,2.3,151.7,2.0,133.3,2.2
156,155.5,156,2.3,152.0,2.0,133.6,2.2
157,156.5,156.3,2.3,152.3,2.0,133.8,2.2
158,157.5,156.5,2.3,152.5,2.0,134.1,2.2
159,158.5,156.8,2.4,152.8,2.0,134.4,2.2
160,159.5,157,2.4,153.1,2.0,134.6,2.2
161,160.5,157.3,2.4,153.3,2.0,134.9,2.2
162,161.5,157.5,2.4,153.6,2.0,135.2,2.2
163,162.5,157.8,2.4,153.9,2.1,135.4,2.2
164,163.5,158.1,2.4,154.2,2.1,135.7,2.2
165,164.5,158.3,2.4,154.5,2.1,136.0,2.2
166,165.5,158.6,2.4,154.8,2.1,136.3,2.2
167,166.5,158.9,2.4,155.1,2.1,136.6,2.2
168,167.5,159.2,2.4,155.4,2.1,136.9,2.2
169,168.5,159.5,2.4,155.7,2.1,137.2,2.2
170,169.5,159.7,2.4,156.1,2.1,137.5,2.2
171,170.5,160,2.4,156.4,2.1,137.8,2.2
172,171.5,160.3,2.4,156.7,2.1,138.1,2.2
173,172.5,160.6,2.4,157.0,2.1,138.4,2.3
174,173.5,160.9,2.4,157.3,2.1,138.7,2.3
175,174.5,161.2,2.4,157.6,2.1,139.0,2.3
176,175.5,161.5,2.4,157.9,2.1,139.3,2.3
177,176.5,161.7,2.4,158.3,2.1,139.7,2.3
178,177.5,162,2.4,158.6,2.1,140.0,2.3
179,178.5,162.3,2.4,158.9,2.1,140.3,2.3
180,179.5,162.6,2.4,159.2,2.1,140.6,2.3
181,180.5,162.9,2.4,159.6,2.1,140.9,2.3
182,181.5,163.2,2.4,159.9,2.1,141.2,2.3
183,182.5,163.5,2.4,160.2,2.1,141.5,2.3
184,183.5,163.8,2.5,160.6,2.1,141.9,2.3
185,184.5,164.1,2.5,160.9,2.1,142.2,2.3
186,185.5,164.4,2.5,161.2,2.1,142.5,2.3
187,186.5,164.7,2.5,161.6,2.1,142.8,2.3
188,187.5,165,2.5,161.9,2.1,143.1,2.3
189,188.5,165.3,2.5,162.2,2.1,143.5,2.3
190,189.5,165.6,2.5,162.6,2.1,143.8,2.3
191,190.5,165.9,2.5,162.9,2.1,144.1,2.3
192,191.5,166.2,2.5,163.3,2.1,144.5,2.3
193,192.5,166.4,2.5,163.6,2.1,144.7,2.3
194,193.5,166.6,2.5,163.8,2.1,144.9,2.3
195,194.5,166.8,2.5,164.0,2.1,145.1,2.3
196,195.5,167,2.5,164.2,2.1,145.3,2.3
197,196.5,167.1,2.5,164.4,2.1,145.5,2.3
198,197.5,167.3,2.5,164.6,2.1,145.7,2.3
199,198.5,167.5,2.5,164.8,2.1,145.9,2.3
200,199.5,167.7,2.5,165.1,2.1,146.1,2.3
201,200.5,167.8,2.5,165.3,2.1,146.3,2.3
202,201.5,168,2.5,165.5,2.1,146.5,2.3
203,202.5,168.2,2.5,165.7,2.1,146.7,2.3
204,203.5,168.4,2.5,165.9,2.1,146.9,2.3
205,204.5,168.6,2.5,166.1,2.1,147.1,2.3
206,205.5,168.7,2.5,166.3,2.1,147.3,2.3
207,206.5,168.9,2.6,166.5,2.1,147.5,2.3
208,207.5,169.1,2.6,166.8,2.1,147.8,2.3
209,208.5,169.4,2.6,167.0,2.1,148.1,2.3
210,209.5,169.6,2.6,167.3,2.1,148.3,2.3
211,210.5,169.8,2.6,167.6,2.1,148.6,2.3
212,211.5,170.1,2.6,167.8,2.1,148.9,2.3
213,212.5,170.3,2.6,168.1,2.1,149.1,2.3
214,213.5,170.5,2.6,168.3,2.1,149.4,2.3
215,214.5,170.7,2.6,168.6,2.1,149.6,2.3
216,215.5,171,2.6,168.9,2.1,149.9,2.3
217,216.5,171.2,2.6,169.1,2.1,150.1,2.3
218,217.5,171.4,2.6,169.4,2.1,150.4,2.3
219,218.5,171.6,2.6,169.6,2.1,150.6,2.3
