distance.km,plot.dist.mean,elevation.rema
69.8,69.95,2709
70.1,70.2,2710
70.3,70.45,2711
70.6,70.7,2713
70.8,70.9,2714
71,71.15,2716
71.3,71.4,2718
71.5,71.65,2718
71.8,71.9,2720
72,72.1,2721
72.2,72.35,2722
72.5,72.6,2723
72.7,72.85,2724
73,73.1,2724
73.2,73.3,2725
73.4,73.55,2725
73.7,73.8,2726
73.9,74.05,2726
74.2,74.3,2726
74.4,74.5,2727
74.6,74.75,2727
74.9,75,2727
75.1,75.25,2727
75.4,75.5,2727
75.6,75.7,2727
75.8,75.95,2727
76.1,76.2,2727
76.3,76.45,2727
76.6,76.7,2727
76.8,76.9,2727
77,77.15,2727
77.3,77.4,2727
77.5,77.65,2727
77.8,77.9,2726
78,78.1,2726
78.2,78.35,2726
78.5,78.6,2726
78.7,78.85,2726
79,79.1,2726
79.2,79.3,2726
79.4,79.55,2726
79.7,79.8,2726
79.9,80.05,2725
80.2,80.3,2725
80.4,80.5,2725
80.6,80.75,2725
80.9,81,2725
81.1,81.25,2725
81.4,81.5,2726
81.6,81.7,2727
81.8,81.95,2727
82.1,82.2,2727
82.3,82.45,2729
82.6,82.7,2729
82.8,82.9,2730
83,83.15,2730
83.3,83.4,2730
83.5,83.65,2731
83.8,83.9,2731
84,84.1,2731
84.2,84.35,2731
84.5,84.6,2731
84.7,84.85,2730
85,85.1,2730
85.2,85.3,2730
85.4,85.55,2730
85.7,85.8,2730
85.9,86.05,2730
86.2,86.3,2731
86.4,86.5,2731
86.6,86.75,2732
86.9,87,2733
87.1,87.25,2735
87.4,87.5,2736
87.6,87.7,2737
87.8,87.95,2739
88.1,88.2,2739
88.3,88.45,2740
88.6,88.7,2741
88.8,88.9,2742
89,89.15,2742
89.3,89.4,2743
89.5,89.6,2744
89.7,89.85,2743
90,90.1,2744
90.2,90.35,2744
90.5,90.6,2744
90.7,90.8,2744
90.9,91.05,2744
91.2,91.3,2744
91.4,91.55,2743
91.7,91.8,2743
91.9,92,2743
92.1,92.25,2742
92.4,92.5,2741
92.6,92.75,2741
92.9,93,2740
93.1,93.2,2739
93.3,93.45,2740
93.6,93.7,2740
93.8,93.95,2739
94.1,94.2,2739
94.3,94.4,2739
94.5,94.65,2740
94.8,94.9,2740
95,95.15,2740
95.3,95.4,2740
95.5,95.6,2741
95.7,95.85,2741
96,96.1,2741
96.2,96.3,2741
96.4,96.55,2741
96.7,96.8,2741
96.9,97.05,2741
97.2,97.3,2741
97.4,97.5,2742
97.6,97.75,2741
97.9,98,2741
98.1,98.2,2742
98.3,98.45,2742
98.6,98.7,2743
98.8,98.9,2742
99,99.15,2742
99.3,99.4,2742
99.5,99.65,2743
99.8,99.9,2743
100,100.1,2743
100.2,100.35,2742
100.5,100.6,2743
100.7,100.8,2743
100.9,101.05,2742
101.2,101.3,2743
101.4,101.5,2742
101.6,101.75,2742
101.9,102,2742
102.1,102.25,2742
102.4,102.5,2742
102.6,102.7,2742
102.8,102.95,2741
