id,depth.mean,depth.top,depth.btm,density,lat,long,NO3,d17O,d18O,D17O,d15N,NO3err,d17Oerr,d18Oerr,D17Oerr,d15Nerr,group,site,pseudo,smb.1979_2021,smb.1979_2021.mean.ci,smb.1979_2021.MARavgerr,smb.2011_2013,smb.2011_2013.mean.ci,smb.2011_2013.MARavgerr,smb.2013,smb.2013.MARerr
CHICH_P4-78,76.5,75,78,376,-71.1669,111.3665,67.1,0.0571,0.0587,0.0266,0.0447,0,0.0006,0.0008,0.0003,0.0009,p4,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P4-81,79.5,78,81,379,-71.1669,111.3665,70.9,0.0513,0.0529,0.0238,0.0366,0,0.0006,0.0008,0.0003,0.0009,p4,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P4-84,82.5,81,84,381,-71.1669,111.3665,63.8,0.0496,0.0495,0.0238,0.0517,0,0.0012,0.0023,0.0002,0.0008,p4,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P4-87,85.5,84,87,383,-71.1669,111.3665,54.6,0.0498,0.0511,0.0232,0.0458,0,0.0006,0.0008,0.0003,0.0009,p4,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P4-90,88.5,87,90,386,-71.1669,111.3665,52.6,0.0485,0.0507,0.0222,0.0361,0,0.0012,0.0023,0.0002,0.0008,p4,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P4-93,91.5,90,93,388,-71.1669,111.3665,51.6,0.0478,0.0501,0.0217,0.0358,0,0.0006,0.0008,0.0003,0.0009,p4,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P4-96,94.5,93,96,390,-71.1669,111.3665,52.4,0.0507,0.0518,0.0237,0.034,0,0.0012,0.0023,0.0002,0.0008,p4,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P4-99,97.5,96,99,392,-71.1669,111.3665,52.7,0.0519,0.0539,0.0238,0.0315,0,0.0006,0.0008,0.0003,0.0009,p4,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P4-102,100.5,99,102,394,-71.1669,111.3665,54.8,0.0505,0.0528,0.023,0.0292,0,0.0006,0.0008,0.0003,0.0009,p4,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
ABN_SKL,0,0,0,357,-71.1669,111.3665,242.9,0.0684,0.0708,0.0316,0.0022,0,0.0005,0.0008,0.0003,0.0011,p5,ABN,1,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-003,1.5,0,3,357,-71.1669,111.3665,102.4,0.0853,0.0889,0.0391,0.041,0,0.0006,0.0008,0.0003,0.0009,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-006,4.5,3,6,357,-71.1669,111.3665,78.2,0.0904,0.0949,0.041,0.0547,0,0.0006,0.0008,0.0003,0.0009,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-009RR,7.5,6,9,361,-71.1669,111.3665,84.6,0.0895,0.0952,0.04,0.0507,0,0.0005,0.0008,0.0003,0.0011,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-012,10.5,9,12,365,-71.1669,111.3665,89,0.0905,0.0959,0.0406,0.0455,0,0.0006,0.0008,0.0003,0.0009,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-015,13.5,12,15,369,-71.1669,111.3665,84.4,0.088,0.0937,0.0392,0.038,0,0.0006,0.0008,0.0003,0.0009,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-018,16.5,15,18,373,-71.1669,111.3665,73.9,0.0833,0.0896,0.0367,0.0276,0,0.0006,0.0008,0.0003,0.0009,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-021,19.5,18,21,377,-71.1669,111.3665,76.2,0.0847,0.0909,0.0375,0.0247,0,0.0006,0.0008,0.0003,0.0009,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-024,22.5,21,24,381,-71.1669,111.3665,77.3,0.0854,0.0918,0.0377,0.0209,0,0.0006,0.0008,0.0003,0.0009,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-027,25.5,24,27,382,-71.1669,111.3665,82,0.0847,0.092,0.0369,0.0173,0,0.0006,0.0008,0.0003,0.0009,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
